Time,CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_ZN::Des Latent Heat Load [W],CORE_ZN::Des Latent Cool Load [W],CORE_ZN::Des Latent Heat Mass Flow [kg/s],CORE_ZN::Des Latent Cool Mass Flow [kg/s],CORE_ZN::Des Heat Load No DOAS [W],CORE_ZN::Des Sens Cool Load No DOAS [W],CORE_ZN::Des Latent Heat Load No DOAS [W],CORE_ZN::Des Latent Cool Load No DOAS [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1::Des Latent Heat Load [W],PERIMETER_ZN_1::Des Latent Cool Load [W],PERIMETER_ZN_1::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_1::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_1::Des Heat Load No DOAS [W],PERIMETER_ZN_1::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_1::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_1::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2::Des Latent Heat Load [W],PERIMETER_ZN_2::Des Latent Cool Load [W],PERIMETER_ZN_2::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_2::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_2::Des Heat Load No DOAS [W],PERIMETER_ZN_2::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_2::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_2::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3::Des Latent Heat Load [W],PERIMETER_ZN_3::Des Latent Cool Load [W],PERIMETER_ZN_3::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_3::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_3::Des Heat Load No DOAS [W],PERIMETER_ZN_3::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_3::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_3::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4::Des Latent Heat Load [W],PERIMETER_ZN_4::Des Latent Cool Load [W],PERIMETER_ZN_4::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_4::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_4::Des Heat Load No DOAS [W],PERIMETER_ZN_4::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_4::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_4::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:15:00,1.025347E+03,2.761566E+03,5.323060E-02,2.440199E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388809E+01,4.053194E+01,2.828432E+03,1.816661E+03,1.468296E-01,1.605179E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998705E+01,2.388861E+01,4.010659E+01,1.728305E+03,1.172268E+03,8.971932E-02,1.035791E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983940E+01,2.388872E+01,3.980738E+01,2.772488E+03,1.788617E+03,1.439254E-01,1.580401E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995414E+01,2.388860E+01,4.014601E+01,1.728305E+03,1.308589E+03,8.971932E-02,1.156237E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983940E+01,2.388876E+01,3.957144E+01
00:30:00,1.024669E+03,2.752638E+03,5.319542E-02,2.432311E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388809E+01,4.054206E+01,2.828164E+03,1.796562E+03,1.468157E-01,1.587421E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998705E+01,2.388861E+01,4.013418E+01,1.728161E+03,1.157962E+03,8.971185E-02,1.023150E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983939E+01,2.388872E+01,3.983436E+01,2.772218E+03,1.769022E+03,1.439114E-01,1.563088E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995413E+01,2.388860E+01,4.017379E+01,1.728161E+03,1.288774E+03,8.971185E-02,1.138729E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983939E+01,2.388876E+01,3.960194E+01
00:45:00,1.023998E+03,2.744028E+03,5.316059E-02,2.424703E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388809E+01,4.055185E+01,2.827899E+03,1.777038E+03,1.468019E-01,1.570169E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998705E+01,2.388860E+01,4.016145E+01,1.728018E+03,1.144023E+03,8.970446E-02,1.010835E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983940E+01,2.388871E+01,3.986109E+01,2.771952E+03,1.750009E+03,1.438975E-01,1.546288E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995413E+01,2.388859E+01,4.020113E+01,1.728018E+03,1.269811E+03,8.970446E-02,1.121974E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983940E+01,2.388875E+01,3.963192E+01
01:00:00,1.023334E+03,2.735697E+03,5.312612E-02,2.417342E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388809E+01,4.056137E+01,2.827637E+03,1.758046E+03,1.467883E-01,1.553388E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998706E+01,2.388860E+01,4.018845E+01,1.727878E+03,1.130443E+03,8.969714E-02,9.988361E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983941E+01,2.388871E+01,3.988769E+01,2.771688E+03,1.731549E+03,1.438838E-01,1.529977E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995414E+01,2.388859E+01,4.022815E+01,1.727878E+03,1.251615E+03,8.969714E-02,1.105897E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983941E+01,2.388875E+01,3.966143E+01
01:15:00,1.022677E+03,2.727612E+03,5.309200E-02,2.410199E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388808E+01,4.057065E+01,2.827377E+03,1.739816E+03,1.467748E-01,1.537282E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998707E+01,2.388860E+01,4.021525E+01,1.727738E+03,1.117365E+03,8.968991E-02,9.872813E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983942E+01,2.388871E+01,3.991423E+01,2.771427E+03,1.713866E+03,1.438703E-01,1.514354E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995415E+01,2.388859E+01,4.025495E+01,1.727738E+03,1.234270E+03,8.968991E-02,1.090572E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983942E+01,2.388875E+01,3.969059E+01
01:30:00,1.022026E+03,2.719752E+03,5.305823E-02,2.403254E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388808E+01,4.057971E+01,2.827120E+03,1.722323E+03,1.467615E-01,1.521825E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998708E+01,2.388859E+01,4.024152E+01,1.727600E+03,1.104775E+03,8.968275E-02,9.761572E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983944E+01,2.388871E+01,3.994037E+01,2.771168E+03,1.696934E+03,1.438569E-01,1.499393E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995416E+01,2.388858E+01,4.028116E+01,1.727600E+03,1.217718E+03,8.968275E-02,1.075948E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983944E+01,2.388874E+01,3.971916E+01
01:45:00,1.022096E+03,2.712273E+03,5.306184E-02,2.396646E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388808E+01,4.058858E+01,2.827153E+03,1.705566E+03,1.467632E-01,1.507020E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998710E+01,2.388859E+01,4.026714E+01,1.727619E+03,1.092657E+03,8.968370E-02,9.654498E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983946E+01,2.388870E+01,3.996602E+01,2.771201E+03,1.680754E+03,1.438586E-01,1.485097E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995418E+01,2.388858E+01,4.030668E+01,1.727619E+03,1.201908E+03,8.968370E-02,1.061978E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983946E+01,2.388874E+01,3.974710E+01
02:00:00,1.022164E+03,2.704988E+03,5.306540E-02,2.390209E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388808E+01,4.059725E+01,2.827185E+03,1.689409E+03,1.467648E-01,1.492744E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998712E+01,2.388859E+01,4.029223E+01,1.727637E+03,1.080922E+03,8.968464E-02,9.550814E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983947E+01,2.388870E+01,3.999125E+01,2.771234E+03,1.665147E+03,1.438603E-01,1.471307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995419E+01,2.388858E+01,4.033159E+01,1.727637E+03,1.186737E+03,8.968464E-02,1.048574E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983947E+01,2.388873E+01,3.977451E+01
02:15:00,1.022232E+03,2.697889E+03,5.306893E-02,2.383936E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388808E+01,4.060575E+01,2.827217E+03,1.673972E+03,1.467665E-01,1.479105E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998713E+01,2.388858E+01,4.031692E+01,1.727654E+03,1.069685E+03,8.968556E-02,9.451525E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983949E+01,2.388870E+01,4.001620E+01,2.771266E+03,1.650291E+03,1.438619E-01,1.458181E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995421E+01,2.388857E+01,4.035605E+01,1.727654E+03,1.172250E+03,8.968556E-02,1.035773E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983949E+01,2.388873E+01,3.980153E+01
02:30:00,1.022299E+03,2.690969E+03,5.307241E-02,2.377822E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388807E+01,4.061407E+01,2.827248E+03,1.659251E+03,1.467681E-01,1.466098E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998715E+01,2.388858E+01,4.034110E+01,1.727672E+03,1.058926E+03,8.968646E-02,9.356470E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983951E+01,2.388869E+01,4.004074E+01,2.771297E+03,1.636157E+03,1.438635E-01,1.445693E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995423E+01,2.388857E+01,4.037996E+01,1.727672E+03,1.158420E+03,8.968646E-02,1.023554E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983951E+01,2.388873E+01,3.982809E+01
02:45:00,1.022366E+03,2.684226E+03,5.307586E-02,2.371864E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388807E+01,4.062222E+01,2.827279E+03,1.644983E+03,1.467697E-01,1.453491E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998717E+01,2.388857E+01,4.036476E+01,1.727689E+03,1.048486E+03,8.968736E-02,9.264226E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983953E+01,2.388869E+01,4.006488E+01,2.771328E+03,1.622484E+03,1.438652E-01,1.433612E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995425E+01,2.388856E+01,4.040328E+01,1.727689E+03,1.145072E+03,8.968736E-02,1.011761E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983953E+01,2.388872E+01,3.985417E+01
03:00:00,1.022432E+03,2.677653E+03,5.307927E-02,2.366057E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388807E+01,4.063020E+01,2.827310E+03,1.631171E+03,1.467713E-01,1.441288E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998719E+01,2.388857E+01,4.038796E+01,1.727706E+03,1.038364E+03,8.968823E-02,9.174794E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983954E+01,2.388868E+01,4.008865E+01,2.771359E+03,1.609267E+03,1.438667E-01,1.421934E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995426E+01,2.388856E+01,4.042611E+01,1.727706E+03,1.132190E+03,8.968823E-02,1.000379E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983954E+01,2.388872E+01,3.987986E+01
03:15:00,1.022497E+03,2.671246E+03,5.308265E-02,2.360396E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388807E+01,4.063802E+01,2.827340E+03,1.617806E+03,1.467728E-01,1.429479E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998720E+01,2.388857E+01,4.041079E+01,1.727723E+03,1.028555E+03,8.968910E-02,9.088121E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983956E+01,2.388868E+01,4.011214E+01,2.771389E+03,1.596496E+03,1.438683E-01,1.410650E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995428E+01,2.388856E+01,4.044854E+01,1.727723E+03,1.119753E+03,8.968910E-02,9.893903E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983956E+01,2.388872E+01,3.990521E+01
03:30:00,1.022561E+03,2.664998E+03,5.308599E-02,2.354875E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388807E+01,4.064568E+01,2.827369E+03,1.604876E+03,1.467744E-01,1.418054E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998722E+01,2.388856E+01,4.043333E+01,1.727739E+03,1.019050E+03,8.968996E-02,9.004144E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983958E+01,2.388868E+01,4.013541E+01,2.771418E+03,1.584157E+03,1.438699E-01,1.399748E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995430E+01,2.388855E+01,4.047062E+01,1.727739E+03,1.107743E+03,8.968996E-02,9.787783E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983958E+01,2.388871E+01,3.993029E+01
03:45:00,1.022625E+03,2.658901E+03,5.308929E-02,2.349488E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,4.169682E+01,2.388806E+01,4.065319E+01,2.827399E+03,1.592238E+03,1.467759E-01,1.406888E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.998724E+01,2.388856E+01,4.045561E+01,1.727755E+03,1.009762E+03,8.969080E-02,8.922082E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983959E+01,2.388868E+01,4.015848E+01,2.771448E+03,1.572110E+03,1.438714E-01,1.389104E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110900E+01,3.995432E+01,2.388855E+01,4.049243E+01,1.727755E+03,1.096062E+03,8.969080E-02,9.684576E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110891E+01,3.983959E+01,2.388871E+01,3.995513E+01
